assay,value,cell_line,inhibitor,ASA,FU,replicate
ATP,0.44138,HCT116,CQ,2.5,75,2
ATP,0.51132,HCT116,CQ,2.5,75,3
ATP,0.86817,HCT116,CQ,5,0,1
ATP,0.83042,HCT116,CQ,5,0,2
ATP,0.75379,HCT116,CQ,5,0,3
ATP,0.65649,HCT116,CQ,5,50,1
ATP,0.65445,HCT116,CQ,5,50,2
ATP,0.51589,HCT116,CQ,5,50,3
ATP,0.56075,HCT116,CQ,5,75,1
ATP,0.50272,HCT116,CQ,5,75,2
ATP,0.45693,HCT116,CQ,5,75,3
ATP,0.98502,HT29,None,0,0,1
ATP,0.84896,HT29,None,0,0,2
ATP,0.97016,HT29,None,0,0,3
ATP,0.74489,HT29,None,0,50,1
ATP,0.91093,HT29,None,0,50,2
ATP,0.70406,HT29,None,0,50,3
ATP,0.87025,HT29,None,0,75,1
ATP,0.87877,HT29,None,0,75,2
ATP,0.75998,HT29,None,0,75,3
ATP,0.81774,HT29,None,2.5,0,1
ATP,0.88548,HT29,None,2.5,0,2
ATP,0.86711,HT29,None,2.5,0,3
ATP,0.87361,HT29,None,2.5,50,1
ATP,0.75509,HT29,None,2.5,50,2
ATP,0.74956,HT29,None,2.5,50,3
ATP,0.71205,HT29,None,2.5,75,1
ATP,0.71285,HT29,None,2.5,75,2
ATP,0.57944,HT29,None,2.5,75,3
ATP,0.85215,HT29,None,5,0,1
ATP,0.89922,HT29,None,5,0,2
ATP,0.89874,HT29,None,5,0,3
ATP,0.77191,HT29,None,5,50,1
ATP,0.51055,HT29,None,5,50,2
ATP,0.81641,HT29,None,5,50,3
ATP,0.47074,HT29,None,5,75,1
ATP,0.4474,HT29,None,5,75,2
ATP,0.67812,HT29,None,5,75,3
ATP,0.99421,HT29,3-MA,0,0,1
ATP,0.66188,HT29,3-MA,0,0,2
ATP,0.92311,HT29,3-MA,0,0,3
ATP,0.71919,HT29,3-MA,0,50,1
ATP,0.82847,HT29,3-MA,0,50,2
ATP,0.81395,HT29,3-MA,0,50,3
ATP,0.59501,HT29,3-MA,0,75,1
ATP,0.69899,HT29,3-MA,0,75,2
ATP,0.60754,HT29,3-MA,0,75,3
ATP,0.69673,HT29,3-MA,2.5,0,1
ATP,0.83811,HT29,3-MA,2.5,0,2
ATP,0.88705,HT29,3-MA,2.5,0,3
ATP,0.8089,HT29,3-MA,2.5,50,1
ATP,0.67148,HT29,3-MA,2.5,50,2
ATP,0.61058,HT29,3-MA,2.5,50,3
ATP,0.6907,HT29,3-MA,2.5,75,1
ATP,0.54548,HT29,3-MA,2.5,75,2
ATP,0.55498,HT29,3-MA,2.5,75,3
ATP,0.79532,HT29,3-MA,5,0,1
ATP,0.81952,HT29,3-MA,5,0,2
ATP,0.6352,HT29,3-MA,5,0,3
ATP,0.56599,HT29,3-MA,5,50,1
ATP,0.381,HT29,3-MA,5,50,2
ATP,0.55226,HT29,3-MA,5,50,3
ATP,0.54949,HT29,3-MA,5,75,1
ATP,0.54152,HT29,3-MA,5,75,2
ATP,0.49253,HT29,3-MA,5,75,3
ATP,0.81599,HT29,CQ,0,0,1
ATP,0.61662,HT29,CQ,0,0,2
ATP,0.80738,HT29,CQ,0,0,3
ATP,0.83528,HT29,CQ,0,50,1
ATP,0.62195,HT29,CQ,0,50,2
ATP,0.58183,HT29,CQ,0,50,3
ATP,0.70258,HT29,CQ,0,75,1
ATP,0.71189,HT29,CQ,0,75,2
ATP,0.69601,HT29,CQ,0,75,3
ATP,0.7452,HT29,CQ,2.5,0,1
ATP,0.76902,HT29,CQ,2.5,0,2
ATP,0.69921,HT29,CQ,2.5,0,3
ATP,0.51493,HT29,CQ,2.5,50,1
ATP,0.58682,HT29,CQ,2.5,50,2
ATP,0.52054,HT29,CQ,2.5,50,3
ATP,0.38482,HT29,CQ,2.5,75,1
ATP,0.6591,HT29,CQ,2.5,75,2
ATP,0.49168,HT29,CQ,2.5,75,3
ATP,0.55602,HT29,CQ,5,0,1
ATP,0.67029,HT29,CQ,5,0,2
ATP,0.72427,HT29,CQ,5,0,3
ATP,0.38635,HT29,CQ,5,50,1
ATP,0.5034,HT29,CQ,5,50,2
ATP,0.43918,HT29,CQ,5,50,3
ATP,0.25101,HT29,CQ,5,75,1
ATP,0.48084,HT29,CQ,5,75,2
ATP,0.39479,HT29,CQ,5,75,3
Caspase,0.89973,HCT116,None,0,0,1
Caspase,0.87255,HCT116,None,0,0,2
Caspase,0.99416,HCT116,None,0,0,3
Caspase,0.89946,HCT116,None,0,0,4
Caspase,1.12773,HCT116,None,0,0,5
Caspase,0.8292,HCT116,None,0,0,6
Caspase,1.04484,HCT116,None,0,50,1
Caspase,0.87561,HCT116,None,0,50,2
Caspase,0.98493,HCT116,None,0,50,3
Caspase,1.42573,HCT116,None,0,50,4
Caspase,1.14815,HCT116,None,0,50,5
Caspase,1.52733,HCT116,None,0,50,6
Caspase,1.21865,HCT116,None,0,75,1
Caspase,1.21072,HCT116,None,0,75,2
Caspase,1.4696,HCT116,None,0,75,3
Caspase,1.38926,HCT116,None,0,75,4
Caspase,1.52446,HCT116,None,0,75,5
Caspase,1.18943,HCT116,None,0,75,6
Caspase,0.84344,HCT116,None,2.5,0,1
Caspase,1.00503,HCT116,None,2.5,0,2
Caspase,1.19434,HCT116,None,2.5,0,3
Caspase,0.99717,HCT116,None,2.5,0,4
Caspase,1.31089,HCT116,None,2.5,0,5
Caspase,0.87211,HCT116,None,2.5,0,6
Caspase,1.18869,HCT116,None,2.5,50,1
Caspase,1.09586,HCT116,None,2.5,50,2
Caspase,1.35907,HCT116,None,2.5,50,3
Caspase,1.3314,HCT116,None,2.5,50,4
Caspase,1.10582,HCT116,None,2.5,50,5
Caspase,1.39449,HCT116,None,2.5,50,6
Caspase,0.92254,HCT116,None,2.5,75,1
Caspase,1.4151,HCT116,None,2.5,75,2
Caspase,2.00872,HCT116,None,2.5,75,3
Caspase,1.42992,HCT116,None,2.5,75,4
Caspase,1.26797,HCT116,None,2.5,75,5
Caspase,1.42887,HCT116,None,2.5,75,6
Caspase,1.49378,HCT116,None,5,0,1
Caspase,1.30049,HCT116,None,5,0,2
Caspase,1.39868,HCT116,None,5,0,3
Caspase,1.47828,HCT116,None,5,0,4
Caspase,1.19803,HCT116,None,5,0,5
Caspase,0.94075,HCT116,None,5,0,6
Caspase,1.29686,HCT116,None,5,50,1
Caspase,1.52075,HCT116,None,5,50,2
Caspase,1.65779,HCT116,None,5,50,3
Caspase,1.58773,HCT116,None,5,50,4
Caspase,1.74059,HCT116,None,5,50,5
Caspase,1.5369,HCT116,None,5,50,6
Caspase,1.78996,HCT116,None,5,75,1
Caspase,1.44094,HCT116,None,5,75,2
Caspase,2.01717,HCT116,None,5,75,3
Caspase,1.42211,HCT116,None,5,75,4
Caspase,1.36684,HCT116,None,5,75,5
Caspase,1.66796,HCT116,None,5,75,6
Caspase,1.25375,HCT116,3-MA,0,0,1
Caspase,0.90163,HCT116,3-MA,0,0,2
Caspase,1.15379,HCT116,3-MA,0,0,3
Caspase,1.02094,HCT116,3-MA,0,0,4
Caspase,1.24685,HCT116,3-MA,0,0,5
Caspase,1.12202,HCT116,3-MA,0,0,6
Caspase,1.05431,HCT116,3-MA,0,50,1
Caspase,1.62002,HCT116,3-MA,0,50,2
Caspase,1.39838,HCT116,3-MA,0,50,3
Caspase,1.09639,HCT116,3-MA,0,50,4
Caspase,1.14411,HCT116,3-MA,0,50,5
Caspase,1.34044,HCT116,3-MA,0,50,6
Caspase,1.80107,HCT116,3-MA,0,75,1
Caspase,1.83678,HCT116,3-MA,0,75,2
Caspase,1.47955,HCT116,3-MA,0,75,3
Caspase,1.39871,HCT116,3-MA,0,75,4
Caspase,1.17427,HCT116,3-MA,0,75,5
Caspase,1.98111,HCT116,3-MA,0,75,6
Caspase,1.301,HCT116,3-MA,2.5,0,1
Caspase,1.69537,HCT116,3-MA,2.5,0,2
Caspase,1.46939,HCT116,3-MA,2.5,0,3
Caspase,1.41418,HCT116,3-MA,2.5,0,4
Caspase,1.11351,HCT116,3-MA,2.5,0,5
Caspase,1.98605,HCT116,3-MA,2.5,0,6
Caspase,2.12852,HCT116,3-MA,2.5,50,1
Caspase,1.59442,HCT116,3-MA,2.5,50,2
Caspase,1.52997,HCT116,3-MA,2.5,50,3
Caspase,1.36911,HCT116,3-MA,2.5,50,4
Caspase,1.91657,HCT116,3-MA,2.5,50,5
Caspase,1.2919,HCT116,3-MA,2.5,50,6
Caspase,1.87542,HCT116,3-MA,2.5,75,1
Caspase,1.5293,HCT116,3-MA,2.5,75,2
Caspase,1.69228,HCT116,3-MA,2.5,75,3
Caspase,1.27546,HCT116,3-MA,2.5,75,4
Caspase,2.08547,HCT116,3-MA,2.5,75,5
Caspase,1.55206,HCT116,3-MA,2.5,75,6
Caspase,1.7973,HCT116,3-MA,5,0,1
Caspase,1.49795,HCT116,3-MA,5,0,2
Caspase,1.57456,HCT116,3-MA,5,0,3
Caspase,1.93157,HCT116,3-MA,5,0,4
Caspase,1.76439,HCT116,3-MA,5,0,5
Caspase,1.23763,HCT116,3-MA,5,0,6
Caspase,1.39398,HCT116,3-MA,5,50,1
Caspase,1.49311,HCT116,3-MA,5,50,2
Caspase,2.38235,HCT116,3-MA,5,50,3
Caspase,2.35724,HCT116,3-MA,5,50,4
Caspase,1.78555,HCT116,3-MA,5,50,5
Caspase,2.23859,HCT116,3-MA,5,50,6
Caspase,1.84473,HCT116,3-MA,5,75,1
Caspase,2.05818,HCT116,3-MA,5,75,2
Caspase,1.14009,HCT116,3-MA,5,75,3
Caspase,1.64232,HCT116,3-MA,5,75,4
Caspase,1.94038,HCT116,3-MA,5,75,5
Caspase,1.47564,HCT116,3-MA,5,75,6
Caspase,1.23893,HCT116,CQ,0,0,1
Caspase,1.16244,HCT116,CQ,0,0,2
Caspase,1.34201,HCT116,CQ,0,0,3
Caspase,1.09286,HCT116,CQ,0,0,4
Caspase,1.36376,HCT116,CQ,0,0,5
Caspase,0.88765,HCT116,CQ,0,0,6
Caspase,1.23453,HCT116,CQ,0,50,1
Caspase,0.95432,HCT116,CQ,0,50,2
Caspase,1.13082,HCT116,CQ,0,50,3
Caspase,1.82187,HCT116,CQ,0,50,4
Caspase,1.43558,HCT116,CQ,0,50,5
Caspase,1.50394,HCT116,CQ,0,50,6
Caspase,1.47506,HCT116,CQ,0,75,1
Caspase,1.56329,HCT116,CQ,0,75,2
Caspase,1.59425,HCT116,CQ,0,75,3
Caspase,1.30677,HCT116,CQ,0,75,4
Caspase,1.58066,HCT116,CQ,0,75,5
Caspase,1.19028,HCT116,CQ,0,75,6
Caspase,1.72358,HCT116,CQ,2.5,0,1
Caspase,1.54243,HCT116,CQ,2.5,0,2
Caspase,1.68493,HCT116,CQ,2.5,0,3
Caspase,2.13575,HCT116,CQ,2.5,0,4
Caspase,1.81634,HCT116,CQ,2.5,0,5
Caspase,1.40899,HCT116,CQ,2.5,0,6
Caspase,1.28554,HCT116,CQ,2.5,50,1
Caspase,1.54255,HCT116,CQ,2.5,50,2
Caspase,1.25848,HCT116,CQ,2.5,50,3
Caspase,1.81521,HCT116,CQ,2.5,50,4
Caspase,1.87654,HCT116,CQ,2.5,50,5
Caspase,1.642,HCT116,CQ,2.5,50,6
Caspase,1.69903,HCT116,CQ,2.5,75,1
Caspase,1.34417,HCT116,CQ,2.5,75,2
Caspase,1.27327,HCT116,CQ,2.5,75,3
Caspase,1.64154,HCT116,CQ,2.5,75,4
Caspase,1.99286,HCT116,CQ,2.5,75,5
Caspase,1.8008,HCT116,CQ,2.5,75,6
Caspase,1.06977,HCT116,CQ,5,0,1
Caspase,2.61195,HCT116,CQ,5,0,2
Caspase,1.10835,HCT116,CQ,5,0,3
Caspase,1.2938,HCT116,CQ,5,0,4
Caspase,1.23293,HCT116,CQ,5,0,5
Caspase,1.23822,HCT116,CQ,5,0,6
Caspase,2.7023,HCT116,CQ,5,50,1
Caspase,2.02809,HCT116,CQ,5,50,2
Caspase,2.18183,HCT116,CQ,5,50,3
Caspase,1.74528,HCT116,CQ,5,50,4
Caspase,2.20562,HCT116,CQ,5,50,5
Caspase,2.97527,HCT116,CQ,5,50,6
Caspase,2.09416,HCT116,CQ,5,75,1
Caspase,2.52169,HCT116,CQ,5,75,2
Caspase,2.1475,HCT116,CQ,5,75,3
Caspase,1.54466,HCT116,CQ,5,75,4
Caspase,2.31608,HCT116,CQ,5,75,5
Caspase,1.79915,HCT116,CQ,5,75,6
Caspase,0.98952,HT29,None,0,0,1
Caspase,1.09235,HT29,None,0,0,2
Caspase,1.05526,HT29,None,0,0,3
Caspase,1.07695,HT29,None,0,0,4
Caspase,1.20885,HT29,None,0,0,5
Caspase,0.82964,HT29,None,0,0,6
Caspase,1.54688,HT29,None,0,50,1
Caspase,1.42873,HT29,None,0,50,2
Caspase,1.75957,HT29,None,0,50,3
Caspase,1.51635,HT29,None,0,50,4
Caspase,1.52306,HT29,None,0,50,5
Caspase,1.25752,HT29,None,0,50,6
Caspase,1.14864,HT29,None,0,75,1
Caspase,1.27935,HT29,None,0,75,2
Caspase,1.5632,HT29,None,0,75,3
Caspase,1.51937,HT29,None,0,75,4
Caspase,1.56777,HT29,None,0,75,5
Caspase,1.26502,HT29,None,0,75,6
Caspase,1.13457,HT29,None,2.5,0,1
Caspase,0.92133,HT29,None,2.5,0,2
Caspase,0.96569,HT29,None,2.5,0,3
Caspase,1.29745,HT29,None,2.5,0,4
Caspase,1.27483,HT29,None,2.5,0,5
Caspase,0.99163,HT29,None,2.5,0,6
Caspase,1.4835,HT29,None,2.5,50,1
Caspase,1.2235,HT29,None,2.5,50,2
Caspase,1.27393,HT29,None,2.5,50,3
Caspase,1.1326,HT29,None,2.5,50,4
Caspase,1.80791,HT29,None,2.5,50,5
Caspase,1.11912,HT29,None,2.5,50,6
Caspase,1.92763,HT29,None,2.5,75,1
Caspase,1.5211,HT29,None,2.5,75,2
Caspase,1.79238,HT29,None,2.5,75,3
Caspase,1.51456,HT29,None,2.5,75,4
Caspase,1.31205,HT29,None,2.5,75,5
Caspase,1.52215,HT29,None,2.5,75,6
Caspase,1.58612,HT29,None,5,0,1
Caspase,1.0353,HT29,None,5,0,2
Caspase,1.61631,HT29,None,5,0,3
Caspase,1.7081,HT29,None,5,0,4
Caspase,1.43318,HT29,None,5,0,5
Caspase,1.67047,HT29,None,5,0,6
Caspase,1.75539,HT29,None,5,50,1
Caspase,2.28135,HT29,None,5,50,2
Caspase,1.80208,HT29,None,5,50,3
Caspase,1.49947,HT29,None,5,50,4
Caspase,1.94307,HT29,None,5,50,5
Caspase,1.81484,HT29,None,5,50,6
Caspase,1.81246,HT29,None,5,75,1
Caspase,1.76725,HT29,None,5,75,2
Caspase,2.07088,HT29,None,5,75,3
Caspase,2.03082,HT29,None,5,75,4
Caspase,2.03112,HT29,None,5,75,5
Caspase,1.44738,HT29,None,5,75,6
Caspase,1.20149,HT29,3-MA,0,0,1
Caspase,0.87667,HT29,3-MA,0,0,2
Caspase,0.97086,HT29,3-MA,0,0,3
Caspase,1.33395,HT29,3-MA,0,0,4
Caspase,1.20922,HT29,3-MA,0,0,5
Caspase,1.47609,HT29,3-MA,0,0,6
Caspase,1.43684,HT29,3-MA,0,50,1
Caspase,1.05908,HT29,3-MA,0,50,2
Caspase,1.97443,HT29,3-MA,0,50,3
Caspase,1.56258,HT29,3-MA,0,50,4
Caspase,1.27873,HT29,3-MA,0,50,5
Caspase,1.94699,HT29,3-MA,0,50,6
Caspase,1.59942,HT29,3-MA,0,75,1
Caspase,2.05542,HT29,3-MA,0,75,2
Caspase,1.16367,HT29,3-MA,0,75,3
Caspase,1.2577,HT29,3-MA,0,75,4
Caspase,1.47915,HT29,3-MA,0,75,5
Caspase,1.3188,HT29,3-MA,0,75,6
Caspase,1.44749,HT29,3-MA,2.5,0,1
Caspase,1.10454,HT29,3-MA,2.5,0,2
Caspase,1.45352,HT29,3-MA,2.5,0,3
Caspase,1.44565,HT29,3-MA,2.5,0,4
Caspase,2.72232,HT29,3-MA,2.5,0,5
Caspase,1.06956,HT29,3-MA,2.5,0,6
Caspase,1.44031,HT29,3-MA,2.5,50,1
Caspase,1.47479,HT29,3-MA,2.5,50,2
Caspase,1.92793,HT29,3-MA,2.5,50,3
Caspase,1.80631,HT29,3-MA,2.5,50,4
Caspase,1.50532,HT29,3-MA,2.5,50,5
Caspase,1.34464,HT29,3-MA,2.5,50,6
Caspase,1.64471,HT29,3-MA,2.5,75,1
Caspase,1.99283,HT29,3-MA,2.5,75,2
Caspase,2.21988,HT29,3-MA,2.5,75,3
Caspase,1.63404,HT29,3-MA,2.5,75,4
Caspase,1.85844,HT29,3-MA,2.5,75,5
Caspase,2.08971,HT29,3-MA,2.5,75,6
Caspase,1.8782,HT29,3-MA,5,0,1
Caspase,1.88499,HT29,3-MA,5,0,2
Caspase,1.84029,HT29,3-MA,5,0,3
Caspase,1.18688,HT29,3-MA,5,0,4
Caspase,1.45048,HT29,3-MA,5,0,5
Caspase,2.57044,HT29,3-MA,5,0,6
Caspase,2.48373,HT29,3-MA,5,50,1
Caspase,2.7535,HT29,3-MA,5,50,2
Caspase,1.79557,HT29,3-MA,5,50,3
Caspase,1.93122,HT29,3-MA,5,50,4
Caspase,2.28045,HT29,3-MA,5,50,5
Caspase,1.65768,HT29,3-MA,5,50,6
Caspase,2.52726,HT29,3-MA,5,75,1
Caspase,1.82655,HT29,3-MA,5,75,2
Caspase,1.81228,HT29,3-MA,5,75,3
Caspase,2.28918,HT29,3-MA,5,75,4
Caspase,1.4999,HT29,3-MA,5,75,5
Caspase,2.61333,HT29,3-MA,5,75,6
Caspase,1.4912,HT29,CQ,0,0,1
Caspase,0.98713,HT29,CQ,0,0,2
Caspase,1.86147,HT29,CQ,0,0,3
Caspase,1.67924,HT29,CQ,0,0,4
Caspase,0.75344,HT29,CQ,0,0,5
Caspase,1.51032,HT29,CQ,0,0,6
Caspase,1.21891,HT29,CQ,0,50,1
Caspase,1.46587,HT29,CQ,0,50,2
Caspase,2.08002,HT29,CQ,0,50,3
Caspase,1.81159,HT29,CQ,0,50,4
Caspase,1.48696,HT29,CQ,0,50,5
Caspase,1.20665,HT29,CQ,0,50,6
Caspase,1.19127,HT29,CQ,0,75,1
Caspase,2.05629,HT29,CQ,0,75,2
Caspase,1.86283,HT29,CQ,0,75,3
Caspase,1.5087,HT29,CQ,0,75,4
Caspase,1.2893,HT29,CQ,0,75,5
Caspase,1.83566,HT29,CQ,0,75,6
Caspase,1.47331,HT29,CQ,2.5,0,1
Caspase,1.63512,HT29,CQ,2.5,0,2
Caspase,1.57272,HT29,CQ,2.5,0,3
Caspase,1.71639,HT29,CQ,2.5,0,4
Caspase,1.98944,HT29,CQ,2.5,0,5
Caspase,1.56469,HT29,CQ,2.5,0,6
Caspase,1.28065,HT29,CQ,2.5,50,1
Caspase,1.46594,HT29,CQ,2.5,50,2
Caspase,1.45922,HT29,CQ,2.5,50,3
Caspase,1.91017,HT29,CQ,2.5,50,4
Caspase,1.72666,HT29,CQ,2.5,50,5
Caspase,3.00552,HT29,CQ,2.5,50,6
Caspase,1.59311,HT29,CQ,2.5,75,1
Caspase,1.71632,HT29,CQ,2.5,75,2
Caspase,1.71571,HT29,CQ,2.5,75,3
Caspase,2.04868,HT29,CQ,2.5,75,4
Caspase,2.01481,HT29,CQ,2.5,75,5
Caspase,2.32425,HT29,CQ,2.5,75,6
Caspase,1.5751,HT29,CQ,5,0,1
Caspase,2.36771,HT29,CQ,5,0,2
Caspase,1.44934,HT29,CQ,5,0,3
Caspase,1.89728,HT29,CQ,5,0,4
Caspase,1.58998,HT29,CQ,5,0,5
Caspase,2.5686,HT29,CQ,5,0,6
Caspase,2.20916,HT29,CQ,5,50,1
Caspase,1.66727,HT29,CQ,5,50,2
Caspase,2.30868,HT29,CQ,5,50,3
Caspase,1.97695,HT29,CQ,5,50,4
Caspase,2.432,HT29,CQ,5,50,5
Caspase,2.39605,HT29,CQ,5,50,6
Caspase,2.03281,HT29,CQ,5,75,1
Caspase,3.21343,HT29,CQ,5,75,2
Caspase,2.92954,HT29,CQ,5,75,3
Caspase,2.99383,HT29,CQ,5,75,4
Caspase,2.58675,HT29,CQ,5,75,5
Caspase,3.4824,HT29,CQ,5,75,6
Lactate,1.20562,HCT116,None,0,0,1
Lactate,1.23272,HCT116,None,0,0,2
Lactate,1.22176,HCT116,None,0,0,3
Lactate,1.26812,HCT116,None,0,0,4
Lactate,1.32607,HCT116,None,0,50,1
Lactate,1.54632,HCT116,None,0,50,2
Lactate,1.51177,HCT116,None,0,50,3
Lactate,1.25679,HCT116,None,0,50,4
Lactate,1.21295,HCT116,None,0,75,1
Lactate,1.37269,HCT116,None,0,75,2
Lactate,1.48971,HCT116,None,0,75,3
Lactate,1.20236,HCT116,None,0,75,4
Lactate,1.30288,HCT116,None,2.5,0,1
Lactate,1.28511,HCT116,None,2.5,0,2
Lactate,1.31641,HCT116,None,2.5,0,3
Lactate,1.13475,HCT116,None,2.5,0,4
Lactate,1.05447,HCT116,None,2.5,50,1
Lactate,1.35832,HCT116,None,2.5,50,2
Lactate,1.31382,HCT116,None,2.5,50,3
Lactate,1.65861,HCT116,None,2.5,50,4
Lactate,1.13097,HCT116,None,2.5,75,1
Lactate,1.26812,HCT116,None,2.5,75,2
Lactate,1.4881,HCT116,None,2.5,75,3
Lactate,1.43618,HCT116,None,2.5,75,4
Lactate,1.67154,HCT116,None,5,0,1
Lactate,1.32391,HCT116,None,5,0,2
Lactate,1.38201,HCT116,None,5,0,3
Lactate,1.48738,HCT116,None,5,0,4
Lactate,1.55364,HCT116,None,5,50,1
Lactate,1.39521,HCT116,None,5,50,2
Lactate,1.29665,HCT116,None,5,50,3
Lactate,1.48268,HCT116,None,5,50,4
Lactate,1.39572,HCT116,None,5,75,1
Lactate,1.71478,HCT116,None,5,75,2
Lactate,1.47087,HCT116,None,5,75,3
Lactate,1.42856,HCT116,None,5,75,4
Lactate,1.36142,HCT116,3-MA,0,0,1
Lactate,1.32232,HCT116,3-MA,0,0,2
Lactate,1.04861,HCT116,3-MA,0,0,3
Lactate,1.19759,HCT116,3-MA,0,0,4
Lactate,1.45672,HCT116,3-MA,0,50,1
Lactate,1.32631,HCT116,3-MA,0,50,2
Lactate,1.29038,HCT116,3-MA,0,50,3
Lactate,1.57956,HCT116,3-MA,0,50,4
Lactate,1.56339,HCT116,3-MA,0,75,1
Lactate,1.20327,HCT116,3-MA,0,75,2
Lactate,1.34928,HCT116,3-MA,0,75,3
Lactate,1.54864,HCT116,3-MA,0,75,4
Lactate,1.15804,HCT116,3-MA,2.5,0,1
Lactate,1.45272,HCT116,3-MA,2.5,0,2
Lactate,1.27146,HCT116,3-MA,2.5,0,3
Lactate,1.45078,HCT116,3-MA,2.5,0,4
Lactate,1.54405,HCT116,3-MA,2.5,50,1
Lactate,1.32226,HCT116,3-MA,2.5,50,2
Lactate,1.37777,HCT116,3-MA,2.5,50,3
Lactate,1.26685,HCT116,3-MA,2.5,50,4
Lactate,1.37229,HCT116,3-MA,2.5,75,1
Lactate,1.40199,HCT116,3-MA,2.5,75,2
Lactate,1.72142,HCT116,3-MA,2.5,75,3
Lactate,1.39732,HCT116,3-MA,2.5,75,4
Lactate,1.57973,HCT116,3-MA,5,0,1
Lactate,1.55338,HCT116,3-MA,5,0,2
Lactate,1.52469,HCT116,3-MA,5,0,3
Lactate,1.36203,HCT116,3-MA,5,0,4
Lactate,1.48079,HCT116,3-MA,5,50,1
Lactate,1.4763,HCT116,3-MA,5,50,2
Lactate,1.68546,HCT116,3-MA,5,50,3
Lactate,1.4307,HCT116,3-MA,5,50,4
Lactate,1.51349,HCT116,3-MA,5,75,1
Lactate,1.52388,HCT116,3-MA,5,75,2
Lactate,1.62046,HCT116,3-MA,5,75,3
Lactate,1.66084,HCT116,3-MA,5,75,4
Lactate,1.27048,HCT116,CQ,0,0,1
Lactate,1.16651,HCT116,CQ,0,0,2
Lactate,1.36071,HCT116,CQ,0,0,3
Lactate,1.27164,HCT116,CQ,0,0,4
Lactate,1.49874,HCT116,CQ,0,50,1
Lactate,1.41572,HCT116,CQ,0,50,2
Lactate,1.3719,HCT116,CQ,0,50,3
Lactate,1.0664,HCT116,CQ,0,50,4
Lactate,1.54325,HCT116,CQ,0,75,1
Lactate,1.47944,HCT116,CQ,0,75,2
Lactate,1.66079,HCT116,CQ,0,75,3
Lactate,1.62018,HCT116,CQ,0,75,4
Lactate,1.31413,HCT116,CQ,2.5,0,1
Lactate,1.41827,HCT116,CQ,2.5,0,2
Lactate,1.16114,HCT116,CQ,2.5,0,3
Lactate,1.41711,HCT116,CQ,2.5,0,4
Lactate,1.38675,HCT116,CQ,2.5,50,1
Lactate,1.46338,HCT116,CQ,2.5,50,2
Lactate,1.33153,HCT116,CQ,2.5,50,3
Lactate,1.61461,HCT116,CQ,2.5,50,4
Lactate,1.52994,HCT116,CQ,2.5,75,1
Lactate,1.53474,HCT116,CQ,2.5,75,2
Lactate,1.65467,HCT116,CQ,2.5,75,3
Lactate,1.66432,HCT116,CQ,2.5,75,4
Lactate,1.52393,HCT116,CQ,5,0,1
Lactate,1.60199,HCT116,CQ,5,0,2
Lactate,1.66563,HCT116,CQ,5,0,3
Lactate,1.49023,HCT116,CQ,5,0,4
Lactate,1.38622,HCT116,CQ,5,50,1
Lactate,1.63382,HCT116,CQ,5,50,2
Lactate,1.6317,HCT116,CQ,5,50,3
Lactate,1.75969,HCT116,CQ,5,50,4
Lactate,1.59479,HCT116,CQ,5,75,1
Lactate,1.51995,HCT116,CQ,5,75,2
Lactate,1.73451,HCT116,CQ,5,75,3
Lactate,1.62638,HCT116,CQ,5,75,4
Lactate,1.18442,HT29,None,0,0,1
Lactate,1.2262,HT29,None,0,0,2
Lactate,1.26591,HT29,None,0,0,3
Lactate,1.37114,HT29,None,0,0,4
Lactate,1.39391,HT29,None,0,50,1
Lactate,1.48652,HT29,None,0,50,2
Lactate,1.23388,HT29,None,0,50,3
Lactate,1.4657,HT29,None,0,50,4
Lactate,1.40275,HT29,None,0,75,1
Lactate,1.48381,HT29,None,0,75,2
Lactate,1.25918,HT29,None,0,75,3
Lactate,1.37799,HT29,None,0,75,4
Lactate,1.32314,HT29,None,2.5,0,1
Lactate,1.41782,HT29,None,2.5,0,2
Lactate,1.19554,HT29,None,2.5,0,3
Lactate,1.36591,HT29,None,2.5,0,4
Lactate,1.49552,HT29,None,2.5,50,1
Lactate,1.71588,HT29,None,2.5,50,2
Lactate,1.26864,HT29,None,2.5,50,3
Lactate,1.32153,HT29,None,2.5,50,4
Lactate,1.46524,HT29,None,2.5,75,1
Lactate,1.64052,HT29,None,2.5,75,2
Lactate,1.61304,HT29,None,2.5,75,3
Lactate,1.60444,HT29,None,2.5,75,4
Lactate,1.4764,HT29,None,5,0,1
Lactate,1.5112,HT29,None,5,0,2
Lactate,1.41789,HT29,None,5,0,3
Lactate,1.66727,HT29,None,5,0,4
Lactate,1.37601,HT29,None,5,50,1
Lactate,1.74957,HT29,None,5,50,2
Lactate,1.59999,HT29,None,5,50,3
Lactate,1.55207,HT29,None,5,50,4
Lactate,1.80342,HT29,None,5,75,1
Lactate,1.45942,HT29,None,5,75,2
Lactate,1.53024,HT29,None,5,75,3
Lactate,1.6195,HT29,None,5,75,4
Lactate,1.3382,HT29,3-MA,0,0,1
Lactate,1.22079,HT29,3-MA,0,0,2
Lactate,1.19597,HT29,3-MA,0,0,3
Lactate,1.24064,HT29,3-MA,0,0,4
Lactate,1.64925,HT29,3-MA,0,50,1
Lactate,1.35015,HT29,3-MA,0,50,2
Lactate,1.49009,HT29,3-MA,0,50,3
Lactate,1.40802,HT29,3-MA,0,50,4
